Respondent ID,Collector ID,How many years have you climbed? (0-1),How many years have you climbed? (2-3),How many years have you climbed? (4-5),How many years have you climbed? (6-8),How many years have you climbed? (9-15),How many years have you climbed? (15+),Hand & Elbow,Shoulder,Spine,Pelvis/Hip,Knee,Foot & Ankle,Other,List Injury,How long did the whole recovery process take before you were climbing at your same grade or better?,How long did the whole recovery process take before you were climbing at your same grade or better?.1,How long did the whole recovery process take before you were climbing at your same grade or better?.2,How long did the whole recovery process take before you were climbing at your same grade or better?.3,How long did the whole recovery process take before you were climbing at your same grade or better?.4,How long did the whole recovery process take before you were climbing at your same grade or better?.5,How long did the whole recovery process take before you were climbing at your same grade or better?.6,How long did the whole recovery process take before you were climbing at your same grade or better?.7,Did you require surgery? And are you satisfied with the surgery?,Did you require surgery? And are you satisfied with the surgery?.1,Did you require surgery? And are you satisfied with the surgery?.2,Did you require surgery? And are you satisfied with the surgery?.3,Did you require surgery? And are you satisfied with the surgery?.4,What surgery did you require?  (leave blank if none)
,,0-1 year,2-3 years,4-5 years,6-8 years,9-15,15+,Hand & Elbow,Shoulder,Spine,Pelvis/Hip,Knee,Foot & Ankle,Other,Open-Ended Response,Less than 1 month,1-2 months,2-6 months,6-12 months,1-2 years,2-5 years,I've never recovered and climb worse,I'm still recovering,Yes and satisfied with surgery,Yes and not satisfied with surgery,No,"No, but I had prescribed physical/occupational therapy",Other (please specify),Open-Ended Response
6901484638,167721399.0,,,,4,,,1,,,,,,,Ruptured Distal Bicep Tendon ,,,,,,,,8,1,,,,,Reattached the distal bicep tendon 
6899295413,167721399.0,,,,4,,,,,,,,6,,Osteochondral lesion talus,,,,,,,,8,1,,,,,"microfracture, biocartilage"
6893714449,167721399.0,,,3,,,,,,,,,6,,Avulsion of superior peroneal retinaculum resulting in disclocation of peroneal brevis tendon,,,,,5,,,,1,,,,,"""Repair of peroneal tendons"""
6892980150,167721399.0,,,,,5,,1,,,,,6,,Sesamoid Fracture/AVN,,,,,,,,8,,,3,,,
6888169821,167721399.0,,,,4,,,1,,,,,,,Ring fingers,,,,4,,,,,,,3,,,
6888166893,167721399.0,,,,,5,,1,,,,,6,,"bilateral lateral epicondylitis, left ankle sprain",,,,,,6,,,,,3,,,
6888162392,167721399.0,,,3,,,,1,,3,,,6,,"Mild A2 strains, multiple fingers. Central slip injury w/ Buitonerre deformity of the left middle finger. Burst fracture of the T12 after a groundfall, fusion of the T11-T12-L1. Complex talar body fracture with displacement, ORIF w/ 2 screws to fix it. ",,,3,,,,,,1,,,,,"Listed above, but again. T12 burst fracture, fusion of T11-T12-L1. Talar body fracture, ORIF w/ 2 screws from the anterior lateral to the medial posterior."
6888080418,167721399.0,,,,,5,,,,3,,,,,Vertebral body and rib fractures. Hemopneumothorax. ,,,,,,,,8,1,,,,,T3-T9 spinal fusion. Chest tube. 
6888074078,167721399.0,,,,,5,,,2,,,,,,SLAP tear,,,,4,,,,,,,,4,,
6887986086,167721399.0,,,,,,6,1,,,,,6,,"Tendon strain 3rd, 4th and 5th finger on both hands. Elbow & wrist issues requiring 3 years off of climbing, extensive chiropractic, physical therapy, graston, ART, and steroid injection. MRI's done, no definite diagnosis. Ortho recommended no surgery. ",,,,,,,7,,,,,4,,
6887884687,167721399.0,,,3,,,,,,,,,6,,Tibia fracture at ankle,,,,4,,,,,,,,4,,
6887857435,167721399.0,,,,,,6,1,,,,,,,Medial Epicondylitis,,,,,,,,8,,,,4,,
6887845164,167721399.0,,,,,5,,,,,,,6,,Ruptured achilles tendon,,,,4,,,,,1,,,,,Percutaneous Achilles Repair Surgery
6887827407,167721399.0,,,,,5,,1,,,,,,,"Right hand: Partially Torn A2 pulley, Full scapholunate ligament tear, other undiagnosed tendon pain. LH: Full Scapholunate ligament tear",,,,,,,,8,1,,,,,Scapholunate ligament repair on both hands (separate injuries)
6887818436,167721399.0,,,,4,,,,2,,,,,,shoulder dislocation,,,3,,,,,,1,,,,,labral repair
6868888594,167721399.0,,,3,,,,1,2,3,,,6,,"Strained joints, falling and bruising feet because stupid belayer, countless bruises and scrapes from falling",,2,,,,,,,,,3,,,
6607317036,167721399.0,,,,4,,,1,,,,,6,,"Fracture on my right medial malleolus, tweaked left wrist",,,,,5,,,,1,,,,,"Screws in my ankle, nothing for my wrist"
6601629867,167721399.0,,,3,,,,1,,,,,,,torn tendon in finger,,,3,,,,,,,,3,,,
6601508509,167721399.0,,,3,,,,1,2,,,,,,Shoulder dislocation,,,,4,,,,,,,,4,,
6601125767,167721399.0,,,,4,,,1,,,,,,7,"A4 pulley on 2 fingers, strained hamstring",,,,4,,,,,,,3,,,
6600895886,167721399.0,,,,4,,,1,,,,,,,A4 pulley strain,,2,,,,,,,,,3,,,
6600632329,167721399.0,,,,,5,,1,2,,,,6,,"popped A4 tendon in L ring finger, strained A2 R ring finger.  right shoulder internal impingement.  right foot ankle sprain. lots of other finger tweaks",,,3,,,,,,,,,4,,
6600620258,167721399.0,,,,,5,,1,,,,,6,,pulled finger muscle,,,3,,,,,,,,3,,,
6600523504,167721399.0,,,3,,,,1,2,,,,6,,"Climbers elbow, tight shoulders, twisted ankles",1,,,,,,,,,,,4,,
6600491966,167721399.0,,,,4,,,1,,,,,,,"Tfc tear in wrist, various flexor tendon strains",,,,4,,,,,,,,4,,
6600472380,167721399.0,,,3,,,,,,,,,6,,FHB tendonitis/tendonosis,,,,4,,,,,,,,4,,
6600439422,167721399.0,,,,,,6,1,2,,,,,,popped finger pulley; strained/severely sore pulleys; severely strained bicep tendon,,,,4,,,,,,,,4,,
6600428861,167721399.0,,,,4,,,1,2,,,,,7,Shoulder (wrenched out when I fell but didn't let go). A pulley injury on my ring finger left hand. A wrist injury on my left hand.,,,3,,,,,,,,3,,,
6600410037,167721399.0,,,,4,,,1,,,,,,,Finger pulley,,2,,,,,,,,,3,,,
6600342593,167721399.0,,,,4,,,1,,,,,,,Multiple pulley strains,,,3,,,,,,,,3,,,
6600301949,167721399.0,,,,4,,,1,,,,,6,,"Talus fracture, golfers elbow, ganglion at a2 pulley (ultrasound)",,,3,,,,,,,,3,,,
6600261594,167721399.0,,,,,5,,,,3,,,6,7,Head injury,,,,,,,,8,,,3,,,Cervical disc did not have surgery .disc improved on it's own. Now have trouble getting info from clinicians re forearm pain related or not to cervical spine. 
6600249652,167721399.0,,,3,,,,,2,,,5,6,,"Shoulder, ankle and broken foot.",,,3,,,,,,,,,4,,
6600242751,167721399.0,,,,4,,,1,,,,,6,,"Undiagnosed, but possibly synovitis in middle finger",,,,,,,7,,,,3,,,
6600220164,167721399.0,,,,4,,,1,2,,,,,,"Sore finger joints, shoulder impediment",1,,,,,,,,,,3,,,
6600216855,167721399.0,,,3,,,,1,,,,,,7,Meralgia paresthetica,,,3,,,,,,,,,4,,
6600216803,167721399.0,,,,4,,,1,,,,,6,7,"climbers elbow, assortment of finger pulley injuries, pulled/bruised heel (foot arch) and pulled neck muscle.",,2,,,,,,,,,3,,,
6600144074,167721399.0,,,,,5,,1,,,,,,,"golfers elbow, unknown finger injuty probably sheat inflamation, trigger finger",,,,,,,,8,,,,4,,
6600117782,167721399.0,,,,,,6,1,,,,,6,,golfers elbow,,2,,,,,,,,,3,,,
6600050392,167721399.0,,,3,,,,1,,,,,,,Soft tissue damage to wrist ,,,3,,,,,,,,,4,,
6600041847,167721399.0,,,3,,,,1,,,,,,7,wrist,,,,,5,,,,,,3,,,
6600026016,167721399.0,,,3,,,,1,,,,,6,,"sprained ankle, tendon sheath tear in finger",,,3,,,,,,,,3,,,
6600016130,167721399.0,,,,4,,,1,2,,,,6,,,,,,4,,,,,1,,,,,broke off heel
6600006182,167721399.0,,,,4,,,1,,,,,,,severely jammed my thumb,,2,,,,,,,,,3,,,
6599982768,167721399.0,,,,,5,,1,,,,,,,"partial pulley tendon tear, some sort of elbow injury",,,3,,,,,,,,3,,,
6599979520,167721399.0,,,3,,,,,,,,,6,,Sprained ankle ,1,,,,,,,,,,3,,,
