Respondent ID,Collector ID,How many years have you climbed? (0-1),How many years have you climbed? (2-3),How many years have you climbed? (4-5),How many years have you climbed? (6-8),How many years have you climbed? (9-15),How many years have you climbed? (15+),Hand & Elbow,Shoulder,Spine,Pelvis/Hip,Knee,Foot & Ankle,Other,List Injury,How long did the whole recovery process take before you were climbing at your same grade or better?,How long did the whole recovery process take before you were climbing at your same grade or better?.1,How long did the whole recovery process take before you were climbing at your same grade or better?.2,How long did the whole recovery process take before you were climbing at your same grade or better?.3,How long did the whole recovery process take before you were climbing at your same grade or better?.4,How long did the whole recovery process take before you were climbing at your same grade or better?.5,How long did the whole recovery process take before you were climbing at your same grade or better?.6,How long did the whole recovery process take before you were climbing at your same grade or better?.7,Did you require surgery? And are you satisfied with the surgery?,Did you require surgery? And are you satisfied with the surgery?.1,Did you require surgery? And are you satisfied with the surgery?.2,Did you require surgery? And are you satisfied with the surgery?.3,Did you require surgery? And are you satisfied with the surgery?.4,What surgery did you require?  (leave blank if none)
,,0-1 year,2-3 years,4-5 years,6-8 years,9-15,15+,Hand & Elbow,Shoulder,Spine,Pelvis/Hip,Knee,Foot & Ankle,Other,Open-Ended Response,Less than 1 month,1-2 months,2-6 months,6-12 months,1-2 years,2-5 years,I've never recovered and climb worse,I'm still recovering,Yes and satisfied with surgery,Yes and not satisfied with surgery,No,"No, but I had prescribed physical/occupational therapy",Other (please specify),Open-Ended Response
6888021896,167721399.0,,2,,,,,,,3,,,,,L1 compression fracture ,,,,,,,,8,,,,4,,
6887853742,167721399.0,,2,,,,,1,,,,,,7,"climber's elbow, strained tendon in wrist, impaled leg on branch (walking at base of climb, not incurred while climbing) ",,,,4,,,,,,2,,,,for leg - internal and external sutures (and lots of PT)
6887175780,167721399.0,1,,,,,,,,,,,6,,Toe injury on slab,1,,,,,,,,,,3,,,
6757368545,167721399.0,,2,,,,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,
6660405736,167721399.0,1,,,,,,,,,,5,,,knees were sore for weeks following an intense climbing session,1,,,,,,,,,,3,,,
6627770522,167721399.0,,2,,,,,,2,,,,,,L rotator cuff,,,,,,,,,,,,,,none
6606399342,167721399.0,,2,,,,,1,2,,,,6,,Tedonitis Med epicondyle; rotator cuff tear; sprained ankle,,,,,5,,,,,,,4,,
6605870200,167721399.0,,2,,,,,1,,,,,,,"tendonitis from weight lifting, aggravated by climbing, minor tendon strain in hand",1,,,,,,,,,,3,,,
6605044886,167721399.0,1,,,,,,,,,4,5,,,Sports hernia,,,3,,,,,,,,,4,,
6604250474,167721399.0,1,,,,,,1,,,,,,,"A2, A4 pulleys strains, lateral and medial epicondylitis",1,,,,,,,,,,3,,,
6602473831,167721399.0,,2,,,,,1,,,,,,,Muscle sprain in little finger (no obvious cause except overuse),,,,4,,,,,,,3,,,
6601473042,167721399.0,,2,,,,,1,,,,,,,Climbers elbow both arms,1,,,,,,,,,,3,,,
6601389777,167721399.0,,2,,,,,,,,,,6,,Dislocated toes,,,,4,,,,,,,3,,,
6601159206,167721399.0,1,,,,,,1,,,,,6,,Broken foot ,,,3,,,,,,,,,4,,
6601050124,167721399.0,,2,,,,,1,2,,,,,,Thumb injury - tendinitis,,,,,,,,8,,,3,,,
6601000974,167721399.0,1,,,,,,1,,,,,,,A2 pulley in right pinky finger,,2,,,,,,,,,3,,,
6600937747,167721399.0,1,,,,,,,,,,5,6,,Tendon stress,,,,,,,,8,,,3,,,
6600903260,167721399.0,1,,,,,,1,,,,,,,Elbow tendonitis,,,,,,,,8,,,3,,,
6600840104,167721399.0,1,,,,,,1,2,,,5,6,,Meniscus tear ,,2,,,,,,,,,3,,,
6600697765,167721399.0,1,,,,,,1,,,,,6,,Believed toe sprain and wrist tendon issue,,,3,,,,,,,,3,,,
6600692735,167721399.0,,2,,,,,1,2,,,,,7,"A2 ring finger 3 times, hamstring, shoulder",,2,,,,,,,,,3,,,
6600676073,167721399.0,1,,,,,,1,,,,,6,,"Tweaky tendons, wrist sprains from hitting holds while falling, sprained ankle while taking a lead fall and hitting it on a jug",1,,,,,,,,,,3,,,
6600670410,167721399.0,,2,,,,,,2,,,,,,"Sprained while doing a weird boulder problem, didnt dislocate but felt loose and in pain",1,,,,,,,,,,3,,,
6600666968,167721399.0,1,,,,,,1,2,,,,,,Finger sprains and rotator cuff sprain,1,,,,,,,,,,3,,,
6600561021,167721399.0,,2,,,,,,2,,,,,,Torn labrum ,,,3,,,,,,,,,4,,
6600548995,167721399.0,1,,,,,,1,2,,,5,,,ligaments strain ,,,3,,,,,,,,3,,,
6600543051,167721399.0,1,,,,,,1,2,3,,5,6,,"Sprained knuckle, twisted ankle, sprained MCL, lower back pain, left shoulder tendonosis, mild De Quervain's",,,,,,,,8,,,,4,,
6600518075,167721399.0,,2,,,,,1,2,,,,,,"Left Shoulder, streched rotorcuff or joint",,2,,,,,,,,,3,,,
6600517716,167721399.0,,2,,,,,1,,,,,,,Medial epiconylitis (golfer’s elbow),,,3,,,,,,,,3,,,
6600509619,167721399.0,,2,,,,,1,,,,,,7,All kinds of wrist injuries,,,,4,,,,,,,3,,,
6600477715,167721399.0,,2,,,,,1,2,,,,,,"sprained rotator cuff, pulleys A2",,2,,,,,,,,,3,,,
6600475814,167721399.0,1,,,,,,,,,,,6,,sprained ankle,,,3,,,,,,,,,4,,
6600461886,167721399.0,1,,,,,,,2,,,,,,Shoulder Impengent (self diagnosed),,,3,,,,,,,,3,,,
6600453084,167721399.0,,2,,,,,1,,,,,,,Ulnar collateral ligament injury,,,3,,,,,,,,,4,,
6600445761,167721399.0,,2,,,,,,2,,,,6,,Strained shoulder (both R and L) - trying to scale too quickly. Foot/Ankle injury was associated more with long distance mountain running (and peak scrambling) than climbing itself.,,,,4,,,,,,,,4,,
6600407770,167721399.0,,2,,,,,1,,,,,,,Collateral ligament sprain,,,,,,,,8,,,3,,,
6600407226,167721399.0,,2,,,,,,,,,,,7,Broken collar bone,,,3,,,,,,1,,,,,Plate and 6 screws
6600402407,167721399.0,,2,,,,,1,,,,,,,"Trigger finger, collateral ligament injuries, synovitis",,,,,,,,8,,,3,,,Cortisone injections
6600379267,167721399.0,,2,,,,,,,,,,,7,"Leg. Spiral fracture of tibia, fracture of fibula",,,3,,,,,,1,,,,,"Intermedullary nail, 4 screws. Removed at 6 months due to non-healing sore, removal also resolved never-ending knee pain at top of nail."
6600378502,167721399.0,,2,,,,,1,,3,,,6,,"Pully strain, ruptured achilles tendon, sciatica",,2,,,,,,,1,,,,,achilles tendon repair
6600318801,167721399.0,,2,,,,,1,2,,,,,7,"Unknown wrist injury, shoulder was damaged rotator cuff.",,2,,,,,,,,,3,,,
6600312667,167721399.0,,2,,,,,1,,,,,,,Middle and ring finger tendons pulled,,2,,,,,,,,,3,,,
6600263261,167721399.0,,2,,,,,,,,,,6,,Trimalleolar Fracture,,,,4,,,,,1,,,,,Open reduction internal fixation
6600241354,167721399.0,,2,,,,,1,,,,,,,Tendonitis in the elbow,,2,,,,,,,,,3,,,
6600221314,167721399.0,,2,,,,,1,,,,,,,Tendonitis in Wrist and thumb (de quervain's),,,,,,,7,,,,,4,,
